DelayNafromNadueNadate,NumNaofNaDelayedNaPayment,ChangedNaCreditNaLimit,NumNaCreditNaInquiries,CreditNaMix,OutstandingNaDebt,CreditNaUtilizationNaRatio,CreditNaHistoryNaAge,PaymentNaofNaMinNaAmount,TotalNaEMINaperNamonth,AmountNainvestedNamonthly,MonthlyNaBalance,CreditNaScore
4,2,3.51,3.0,Na,950.36,25.979.172.803.961.400,25 Years and 11 Months,No,80357.0,1.640.748.218.779.100,6.674.204.738.170.380,Good
1,0,3.51,3.0,Good,950.36,3.087.079.911.079.540,26 Years and 0 Months,No,13.517.337.097.171.700,9.844.195.128.223.790,7.330.533.444.127.110,Good
23,9,8.86,6.0,Na,2602.69,24.523.163.853.918.100,8 Years and 11 Months,Yes,3.654.819.717.138.710,13.066.209.919.444.300,2.722.984.679.091.680,Poor
23,9,8.86,6.0,Standard,2602.69,3.990.251.759.709.180,9 Years and 0 Months,Yes,3.654.819.717.138.710,3.471.516.393.565.090,25.064.951.389.296.100,Poor
23,0,8.86,6.0,Standard,2602.69,3.647.591.386.327.270,9 Years and 1 Months,Yes,3.654.819.717.138.710,456.509.755.447.516,23.971.370.228.386.100,Poor
22,7,8.86,6.0,Standard,2602.69,3.209.749.227.865.350,9 Years and 2 Months,Yes,3.654.819.717.138.710,20.390.183.876.957.100,2.849.744.939.516.550,Poor
22,9,8.86,6.0,Standard,2602.69,37.169.374.491.816.300,9 Years and 3 Months,Yes,3.654.819.717.138.710,50.486.952.198.712.200,25.487.772.562.990.000,Poor
23,6,0.0,6.0,Standard,2602.69,28.570.031.407.996.300,9 Years and 4 Months,Yes,3.654.819.717.138.710,52.931.613.407.134.100,24.243.306.442.147.800,Poor
21,9,0.0,9.0,Standard,2602.69,3.846.541.540.543.400,NA,Yes,3.654.819.717.138.710,30.471.806.299.271.900,2.648.928.715.293.400,Poor
23,9,8.86,9.0,Standard,2602.69,28.815.537.059.010.600,9 Years and 6 Months,Yes,3.654.819.717.138.710,,2.647.720.511.316.510,Poor
16,11,9.13,4.0,Standard,1296.64,42.944.681.681.740.500,NA,Yes,0.0,12.090.755.376.622.200,8.782.514.462.337.770,Poor
16,8,9.13,4.0,Standard,1296.64,343.576.502.428.514,29 Years and 6 Months,Yes,0.0,7.871.934.549.426.280,9.204.396.545.057.370,Poor
16,13,13.13,4.0,Standard,1296.64,28.776.937.743.887.900,NA,Yes,0.0,2.665.850.272.142.170,7.825.739.727.857.820,Poor
16,10,9.13,4.0,Na,1296.64,4.075.852.163.733.130,29 Years and 8 Months,Yes,0.0,5.928.557.022.863.860,9.398.734.297.713.610,Poor
16,11,9.13,4.0,Standard,1296.64,27.727.646.781.775.400,29 Years and 9 Months,Yes,0.0,2.680.846.032.992.910,7.610.743.967.007.080,Poor
19,8,15.920.000.000.000.000,1.0,Standard,107.41,2.651.363.149.248.920,27 Years and 5 Months,Yes,6.298.156.531.464.210,49.924.501.998.175.800,5.886.834.800.182.410,Good
18,0,17.92,1.0,Na,107.41,3.864.911.430.691.300,27 Years and 6 Months,Yes,6.298.156.531.464.210,7.760.922.833.984.060,9.703.192.716.601.590,Good
16,8,17.92,1.0,Standard,107.41,44.676.888.593.962.100,27 Years and 7 Months,Yes,6.298.156.531.464.210,10.830.393.861.997.300,9.396.245.613.800.260,Good
18,8,17.92,1.0,Standard,107.41,3.389.444.259.920.450,27 Years and 9 Months,Yes,6.298.156.531.464.210,11.031.820.362.533.600,9.476.102.963.746.630,Good
52,0,9.95,7.0,Bad,2430.21,29.934.185.732.751.400,18 Years and 2 Months,Yes,4.957.206.224.445.270,7.917.641.583.265.370,31.248.768.858.956.000,Poor
51,18,9.95,7.0,Bad,2430.21,366.412.035.787.929,18 Years and 3 Months,Yes,4.957.206.224.445.270,5.529.821.298.839.300,3.063.658.914.338.200,Poor
48,19,15.95,7.0,Na,2430.21,3.762.486.247.304.560,NA,Yes,4.957.206.224.445.270,14.081.859.591.726.700,23.084.550.850.494.600,Poor
51,19,9.95,7.0,Bad,2430.21,2.805.884.596.384.250,NA,Yes,4.957.206.224.445.270,1.730.425.507.765.920,21.862.155.364.562.100,Poor
51,17,9.95,8.0,Bad,2430.21,2.584.779.062.032.980,18 Years and 7 Months,Yes,4.957.206.224.445.270,8.344.744.882.880.190,28.821.665.559.341.200,Poor
51,19,8.95,8.0,Na,2430.21,2.584.314.493.873.210,18 Years and 8 Months,Yes,56566.0,1.209.754.898.578.690,25.068.861.456.434.400,Poor
30,12,4.17,2.0,Standard,881.4,34.503.707.241.298.500,19 Years and 6 Months,No,0.0,45.388.820.313.894.900,38.743.517.968.610.400,Poor
30,0,4.17,2.0,Standard,881.4,4.117.638.419.789.340,19 Years and 7 Months,No,0.0,16.834.146.287.619.100,30.448.253.712.380.900,Poor
30,12,4.17,2.0,Standard,881.4,3.878.807.246.113.490,19 Years and 8 Months,No,0.0,1.513.776.397.937.300,3.214.463.602.062.690,Poor
30,15,4.17,2.0,Standard,881.4,27.182.482.771.287.600,19 Years and 9 Months,No,0.0,18.463.115.997.411.600,2.781.928.400.258.830,Poor
26,11,4.17,4.0,Na,881.4,28.781.887.776.659.700,19 Years and 10 Months,No,0.0,991.415.414.879.628,3.436.824.585.120.370,Poor
48,0,8.969.999.999.999.990,6.0,Bad,1672.43,25.951.272.885.300.500,10 Years and 1 Months,Yes,3.758.807.283.812.560,14.622.739.235.117.400,2.952.476.462.600.900,Poor
48,18,7.97,6.0,Bad,1672.43,3.238.559.762.083.810,10 Years and 2 Months,Yes,3.758.807.283.812.560,9.236.195.001.929.570,2.675.084.354.759.110,Poor
48,23,7.97,6.0,Bad,1672.43,23.731.347.914.755.400,10 Years and 3 Months,Yes,3.758.807.283.812.560,9.188.397.193.610.820,2.679.864.135.590.990,Poor
51,0,7.97,6.0,Bad,1672.43,3.229.348.991.062.000,10 Years and 5 Months,Yes,3.758.807.283.812.560,6.583.126.164.076.850,29.403.912.385.443.900,Poor
48,24,10.97,1050.0,Bad,1672.43,25.105.402.554.318.400,10 Years and 6 Months,Yes,3.758.807.283.812.560,7.389.986.104.079.840,2.859.705.244.544.090,Poor
52,21,7.97,6.0,Na,1672.43,24.713.823.993.258.300,10 Years and 7 Months,Yes,3.758.807.283.812.560,61.863.727.578.026.100,29.800.665.791.718.100,Poor
48,21,7.97,6.0,Bad,1672.43,3.683.702.882.243.360,10 Years and 8 Months,Yes,3.758.807.283.812.560,7.112.274.735.436.060,288.747.638.140.847,Poor
10,8,0.86,0.0,Na,76.23,29.815.895.626.895.100,32 Years and 9 Months,No,0.0,38.836.035.366.098.800,7.689.823.963.390.110,Good
5,7,Na,0.0,Na,76.23,28.108.086.289.939.200,32 Years and 10 Months,No,0.0,8.072.067.768.357.640,3.701.359.731.642.350,Good
2,6,0.86,0.0,Good,76.23,42.070.458.602.150.000,32 Years and 11 Months,No,0.0,17.203.282.853.259.800,9.553.099.214.674.010,Good
5,7,-4.14,0.0,Good,76.23,2.584.254.793.986.020,33 Years and 0 Months,No,0.0,6.442.873.937.406.400,5.130.553.562.593.590,Good
5,6,0.86,0.0,Good,76.23,288.205.537.792.444,33 Years and 1 Months,No,0.0,34.560.913.541.068.300,791.733.614.589.316,Good
25,18,15.79,,Standard,569.8,28.819.407.058.304,12 Years and 6 Months,Yes,33746.0,3.114.919.791.081.510,3.009.941.628.933.120,Poor
20,19,15.79,7.0,Standard,569.8,3.724.021.434.251.170,12 Years and 7 Months,Yes,26.060.347.529.205.900,410.826.367.012.432,3.010.607.241.028.840,Poor
25,19,15.79,7.0,Standard,569.8,3.652.748.004.014.410,12 Years and 8 Months,Yes,26.060.347.529.205.900,4.800.806.665.619.230,294.135.294.147.935,Poor
25,20,21.79,7.0,Standard,569.8,34.125.305.925.956.300,NA,Yes,26.060.347.529.205.900,56.908.895.859.705.500,2.752.344.649.444.210,Poor
25,19,15.79,11.0,Standard,569.8,31.978.873.515.820.700,12 Years and 10 Months,Yes,26.060.347.529.205.900,6.637.358.000.122.420,27.576.978.080.290.300,Poor
47,19,7.27,12.0,Bad,3532.83,32.321.769.461.626.100,NA,Yes,20.043.261.339.470.600,26.570.621.194.860.000,29.595.384.132.335.900,Poor
48,,7.27,17.0,Bad,3532.83,3.781.024.308.787.280,12 Years and 4 Months,Yes,20.043.261.339.470.600,5.343.581.783.879.260,27.301.874.884.033.100,Poor
48,22,7.27,17.0,Na,3532.83,3.256.739.683.731.980,12 Years and 5 Months,Yes,20.043.261.339.470.600,19.764.049.552.810.000,3.240.195.577.438.590,Poor
48,21,10.27,17.0,Bad,3532.83,3.728.428.974.024.720,12 Years and 6 Months,Yes,20.043.261.339.470.600,20.525.015.227.427.800,3.564.099.009.976.810,Poor
48,24,7.27,,Na,3532.83,24.726.351.303.352.500,12 Years and 9 Months,Yes,20.043.261.339.470.600,15.913.672.195.005.400,3.625.233.313.219.050,Poor
52,10,17.96,9.0,Standard,2686.81,3.928.029.558.815.220,13 Years and 8 Months,Yes,1.851.119.825.795.000,24.806.995.733.765.200,10.656.906.008.284.600,Poor
52,7,13.96,9.0,Standard,2686.81,3.616.398.913.486.820,13 Years and 11 Months,Yes,1.851.119.825.795.000,9.947.477.403.683.120,25.516.424.338.366.800,Poor
52,12,13.96,9.0,Na,2686.81,33.841.866.041.473.100,14 Years and 0 Months,Yes,1.851.119.825.795.000,330.071.842.181.316,4.456.717.523.918.350,Poor
52,12,13.96,9.0,Na,2686.81,24.222.554.856.393.200,14 Years and 1 Months,Yes,1.851.119.825.795.000,10.894.691.107.774.300,2.256.921.063.427.550,Poor
52,9,13.96,13.0,Na,2686.81,3.682.064.895.309.460,14 Years and 3 Months,Yes,1.851.119.825.795.000,9.491.721.648.288.950,24.972.180.093.760.900,Poor
61,13,1.54,6.0,Na,2258.73,3.412.570.493.442.330,NA,Yes,17.238.252.735.862.600,24.691.502.516.402.100,15.144.861.414.401.800,Poor
61,16,1.54,8.0,Na,2258.73,33.414.598.040.847.300,8 Years and 9 Months,Yes,17.238.252.735.862.600,2.360.775.818.986.980,16.228.605.740.934.100,Poor
61,15,1.54,568.0,Bad,2258.73,27.572.862.899.949.100,8 Years and 10 Months,Yes,17.238.252.735.862.600,1.980.421.234.022.210,1.903.215.159.058.180,Poor
61,16,1.54,8.0,Bad,2258.73,324.134.467.979.176,8 Years and 11 Months,Yes,17.238.252.735.862.600,2.540.211.199.377.700,1.643.425.193.702.680,Poor
61,16,1.54,8.0,Bad,2258.73,2.791.283.759.274.980,9 Years and 1 Months,Yes,17.238.252.735.862.600,12.214.845.102.419.800,29.621.518.828.384.100,Poor
61,14,1.54,8.0,Bad,2258.73,23.196.508.529.545.300,NA,Yes,17.238.252.735.862.600,16.067.254.450.139.700,2.376.910.948.066.420,Poor
61,13,-2.46,8.0,Bad,2258.73,3.484.904.970.443.730,9 Years and 3 Months,Yes,17.238.252.735.862.600,14.926.780.615.872.900,24.909.583.314.931.000,Poor
5,6,6.83,4.0,Na,413.32,3.594.290.748.551.220,18 Years and 3 Months,No,29.534.583.720.496.000,7.421.434.055.467.650,3.346.679.090.581.600,Good
4,3,6.83,4.0,Good,413.32,31.861.736.271.923.100,18 Years and 5 Months,No,29.534.583.720.496.000,26.290.476.621.438.200,362.591.772.991.399,Good
5,6,Na,4.0,Good,413.32,22.743.582.104.279.600,18 Years and 6 Months,No,29.534.583.720.496.000,10.472.383.354.456.400,2.941.584.160.682.730,Good
5,7,6.83,4.0,Good,413.32,28.836.349.156.043.800,18 Years and 8 Months,No,29.534.583.720.496.000,6.895.672.493.704.700,3.199.255.246.757.900,Good
31,21,Na,7.0,Bad,1793.54,389.796.611.529.839,18 Years and 9 Months,Yes,6.513.948.777.561.220,4.843.998.334.767.110,27.515.086.221.005.000,Poor
31,21,05.07,7.0,Bad,1793.54,35.030.349.081.579.800,18 Years and 10 Months,Yes,6.513.948.777.561.220,5.383.325.980.744.010,299.757.585.750.281,Poor
31,21,05.07,7.0,Bad,1793.54,2.719.720.883.392.740,18 Years and 11 Months,Yes,31551.0,10.514.914.955.564.500,258.441.696.002.076,Poor
31,3318,05.07,7.0,Bad,1793.54,25.585.205.200.232.100,19 Years and 1 Months,Yes,6.513.948.777.561.220,2.434.618.840.548.100,28.924.465.715.224.000,Poor
31,21,06.07,7.0,Bad,1793.54,35.706.437.003.014.800,19 Years and 2 Months,Yes,6.513.948.777.561.220,10.959.203.229.477.600,243.998.813.262.945,Poor
26,21,Na,7.0,Bad,1793.54,23.245.481.545.534.300,19 Years and 3 Months,Yes,6.513.948.777.561.220,10.422.797.957.897.000,25.936.286.597.875.000,Poor
31,18,05.07,7.0,Bad,1793.54,3.878.895.428.776.150,19 Years and 4 Months,Yes,6.513.948.777.561.220,9.880.418.973.887.450,26.478.665.581.884.600,Poor
2,10,2.58,4.0,Good,556.91,3.442.998.587.408.370,21 Years and 8 Months,No,10.276.291.311.709.000,25.576.582.841.793.200,2.879.044.251.316.430,Good
4,10,2.58,4.0,Good,556.91,31.745.213.385.009.900,21 Years and 9 Months,No,10.276.291.311.709.000,1.503.131.869.839.950,3.733.570.665.655.800,Good
2,10,2.58,4.0,Na,556.91,2.946.412.057.567.310,21 Years and 10 Months,Yes,10.276.291.311.709.000,8.251.039.863.115.360,45.115.985.491.842.200,Good
4,10,2.58,4.0,Good,556.91,3.869.215.906.784.690,NA,No,10.276.291.311.709.000,825.798.021.342.212,4.310.904.514.153.550,Good
4,8,10.44,0.0,Standard,1293.02,33.041.498.963.387.100,25 Years and 10 Months,Yes,5.392.351.397.165.260,12.089.014.204.533.700,64.513.134.398.301,Good
8,3083,10.44,0.0,Standard,1293.02,4.079.113.730.976.760,25 Years and 11 Months,Yes,5.392.351.397.165.260,NaNa10000NaNa,3.580.953.999.823.690,Good
5,6,10.44,0.0,Standard,1293.02,34.983.562.067.394.900,26 Years and 0 Months,Yes,5.392.351.397.165.260,414.896.549.383.656,3.911.249.366.446.910,Good
8,10,4.44,0.0,Na,1293.02,32.733.732.776.648.000,26 Years and 1 Months,Yes,5.392.351.397.165.260,,6.426.718.243.437.650,Good
8,8,10.44,0.0,Standard,1293.02,3.823.451.377.496.930,26 Years and 2 Months,Yes,5.392.351.397.165.260,29.581.189.599.421.300,51.020.959.003.413.400,Good
53,21,26.94,11.0,Bad,3421.66,33.298.654.305.420.300,13 Years and 5 Months,Yes,6.968.545.857.227.970,27.250.794.632.521.400,37.584.691.346.186.500,Poor
53,21,26.94,11.0,Bad,3421.66,38.177.310.964.520.800,13 Years and 6 Months,Yes,6.968.545.857.227.970,7.126.438.577.406.130,36.183.332.232.032.500,Poor
53,21,27.94,11.0,Bad,3421.66,30.986.998.144.545.600,13 Years and 7 Months,Yes,6.968.545.857.227.970,11.731.031.613.952.400,3.257.873.919.548.620,Poor
58,24,26.94,11.0,Bad,3421.66,33.283.061.301.535.400,13 Years and 8 Months,Yes,6.968.545.857.227.970,11.545.341.572.596.900,32.764.429.236.841.700,Poor
53,21,26.94,11.0,Bad,3421.66,3.296.295.024.281.030,13 Years and 9 Months,Yes,6.968.545.857.227.970,24.066.131.449.353.700,3.790.315.766.450.330,Poor
16,1338,9.24,7.0,Standard,1693.95,3.740.993.371.585.020,7 Years and 10 Months,Yes,4.307.051.960.231.580,659.865.855.206.332,32.325.972.821.038.400,Poor
17,20,9.24,7.0,Standard,1693.95,24.251.028.181.031.900,7 Years and 11 Months,Yes,4.307.051.960.231.580,16.962.098.009.559.700,21.962.533.363.541.900,Poor
12,19,9.24,7.0,Na,1693.95,3.878.765.214.795.480,8 Years and 0 Months,Yes,4.307.051.960.231.580,46.576.672.797.796.400,302.669.640.933.221,Poor
17,20,9.24,9.0,Na,1693.95,2.309.179.311.667.220,8 Years and 2 Months,Yes,4.307.051.960.231.580,18.886.611.370.127.800,20.038.020.002.973.800,Poor
13,23,9.24,9.0,Standard,1693.95,3.133.422.002.336.570,8 Years and 3 Months,Yes,4.307.051.960.231.580,13.161.252.154.380.700,2.576.337.921.872.100,Poor
12,17,11.24,9.0,Standard,1693.95,29.706.453.768.241.700,8 Years and 4 Months,Yes,4.307.051.960.231.580,8.048.442.010.154.180,30.876.189.362.947.500,Poor
13,8,9.2,1.0,Good,949.38,41.687.213.348.432.500,30 Years and 7 Months,No,3.649.151.774.048.710,2.961.518.279.313.210,8.221.939.946.638.070,Good
13,4,9.2,1.0,Good,949.38,28.510.774.652.067.700,30 Years and 8 Months,No,3.649.151.774.048.710,23.791.838.093.113.200,8.804.274.416.639.960,Good
13,3,9.2,1.0,Good,949.38,4.147.825.034.175.920,30 Years and 9 Months,No,3.649.151.774.048.710,NaNa10000NaNa,7.056.144.781.572.350,Good
13,6,9.2,1.0,Good,949.38,31.401.516.359.038.000,30 Years and 10 Months,No,3.649.151.774.048.710,5.994.618.328.116.310,5.588.839.897.834.970,Good
10,3,10.2,525.0,Na,949.38,3.426.155.637.445.090,30 Years and 11 Months,No,3.649.151.774.048.710,26.479.842.475.467.000,8.535.473.978.404.580,Good
13,6,9.2,1.0,Good,949.38,2.671.579.704.085.410,31 Years and 0 Months,No,3.649.151.774.048.710,8.611.156.691.643.060,2.772.301.534.308.220,Good
18,6,9.2,1.0,Na,949.38,3.977.628.576.926.380,31 Years and 1 Months,No,3.649.151.774.048.710,34.281.426.591.925.200,7.855.315.566.758.760,Good
16,8,9.2,1.0,Good,949.38,40.605.388.381.855.600,31 Years and 2 Months,No,3.649.151.774.048.710,3.289.078.393.799.950,799.437.983.215.134,Good
12,7,6.43,3.0,Good,1095.73,33.434.371.517.540.900,19 Years and 7 Months,No,0.0,16.299.558.622.762.100,795.554.663.772.378,Good
12,0,6.43,3.0,Na,1095.73,38.389.820.031.990.400,19 Years and 8 Months,Yes,0.0,8.157.260.644.250.120,8.869.776.435.574.980,Good
12,7,6.43,3.0,Na,1095.73,3.662.486.341.899.640,19 Years and 9 Months,No,0.0,1.285.248.739.482.000,8.400.253.760.517.990,Good
12,7,6.43,3.0,Good,1095.73,31.360.244.741.417.900,19 Years and 10 Months,No,0.0,3.036.646.866.498.070,6.848.855.633.501.920,Good
14,0,6.43,3.0,Na,1095.73,4.166.180.246.621.800,19 Years and 11 Months,No,0.0,7.082.263.261.910.930,8.877.276.173.808.900,Good
12,7,6.43,3.0,Good,1095.73,25.026.326.020.444.800,20 Years and 0 Months,No,0.0,4.654.277.736.563.570,5.231.224.763.436.420,Good
12,4,6.43,3.0,Good,1095.73,23.916.287.783.227.700,20 Years and 1 Months,No,0.0,,2.736.508.992.743.440,Good
